Tipo Documental,Palavras-Chave
Contrato,"acordo, cláusula, assinatura, partes"
Relatório Financeiro,"despesas, receitas, balanço, lucro"
Ata de Reunião,"deliberações, participantes, pauta, decisões"
Nota Fiscal,"compra, venda, imposto, valor"
Proposta Comercial,"orçamento, cliente, negociação, prazo"
Contrato,"vigência, penalidades, responsabilidade"
Relatório Técnico,"análise, resultado, metodologia, conclusão"
Proposta Comercial,"desconto, escopo, condições, aceitação"
Memorando,"comunicação, interna, formal, aviso"
Laudo Pericial,"evidências, perícia, conclusões, análise"
Contrato,"serviço, pagamento, prazo, cláusula"
Relatório Financeiro,"ativo, passivo, fluxo de caixa, patrimônio"
Ata de Reunião,"consenso, discussão, participantes, votos"
Proposta Comercial,"proposta, escopo, validade, aprovação"
Relatório Técnico,"projeto, desenvolvimento, resultado, impacto"
Nota Fiscal,"produto, serviço, quantidade, total"
Memorando,"notificação, instrução, procedimento, interna"
Laudo Pericial,"análise, técnico, diagnóstico, evidência"
Contrato,"locação, propriedade, valor, pagamento"
Relatório Financeiro,"balanço, demonstrações, contabilidade, lucro"
Ata de Reunião,"tópicos, agenda, moderação, conclusões"
Proposta Comercial,"condição, entrega, preço, oferta"
Relatório Técnico,"avaliação, implementação, feedback, revisão"
Nota Fiscal,"emissão, controle, venda, preço"
Memorando,"circular, política, comunicação, direcionamento"
Laudo Pericial,"laudo, observação, avaliação, constatação"
Contrato,"aliança, compromisso, deveres, obrigações"
Relatório Financeiro,"receita, custo, análise, orçamento"
Ata de Reunião,"consenso, decisões, aprovação, registro"
Proposta Comercial,"cliente, produto, serviço, proposta"
Relatório Técnico,"inspeção, condição, proposta, adequação"
Nota Fiscal,"cliente, emissão, pagamento, validação"
Memorando,"interno, circular, aviso, confirmação"
Laudo Pericial,"técnico, especialista, exame, conclusão"
Contrato,"aquisição, direito, validade, assinatura"
Relatório Financeiro,"saldo, débito, crédito, balanço"
Ata de Reunião,"pontos, decisões, participantes, registro"
Proposta Comercial,"orçamento, proposta, cliente, condição"
Relatório Técnico,"análise, técnica, revisão, proposta"
Nota Fiscal,"venda, produto, serviço, imposto"
Memorando,"circular, notificação, aviso, comunicação"
Laudo Pericial,"constatação, análise, técnica, prova"
Contrato,"cláusula, termo, condição, vigência"
Relatório Financeiro,"análise, saldo, movimentação, orçamento"
Ata de Reunião,"votação, pauta, resultados, registro"
Proposta Comercial,"escopo, proposta, orçamento, contrato"
Relatório Técnico,"implementação, projeto, resultado, avaliação"
Nota Fiscal,"cliente, fornecedor, total, validação"
Contrato,"acordo, cláusula, obrigação, partes, vigência"
Relatório Financeiro,"balanço, ativo, passivo, receita, despesa"
Ata de Reunião,"pauta, participantes, decisões, discussão, voto"
Nota Fiscal,"compra, venda, tributo, imposto, valor"
Contrato de Trabalho,"empregado, empregador, função, salário, benefícios"
Declaração,"afirmar, certificar, testemunho, declarar, verdade"
Atestado,"saúde, condição, médico, tratamento, paciente"
Contrato,"prestação, serviço, condições, prazo, assinaturas"
Relatório Financeiro,"auditoria, fluxo de caixa, lucro, prejuízo, resultado"
Ata de Reunião,"reunião, ata, resolução, conclusão, presença"
Nota Fiscal,"emissão, destinatário, quantidade, descrição, valor"
Contrato de Trabalho,"jornada, férias, rescisão, direitos, deveres"
Declaração,"responsabilidade, veracidade, confirmação, documento"
Atestado,"incapacidade, diagnóstico, especialista, validade"
Contrato,"compra e venda, registro, termo, contrato, acordo"
Relatório Financeiro,"despesas operacionais, EBIT, balanço patrimonial"
Ata de Reunião,"assembleia, ata, decisões, quórum, ordem do dia"
Nota Fiscal,"ICMS, nota fiscal eletrônica, serviço, item, preço"
Contrato de Trabalho,"contrato individual, segurança, direitos, sindicato"
Declaração,"firmar, compromisso, responsabilidade, consentimento"
Atestado,"aptidão, exame, perícia, laudo, análise"
Contrato,"locação, garantia, caução, imóvel, locatário"
Relatório Financeiro,"demonstração, resultado, orçamento, análise, controle"
Ata de Reunião,"conclusão, reunião extraordinária, ordem, deliberação"
Nota Fiscal,"nota fiscal avulsa, pagamento, remessa, código"
Contrato de Trabalho,"contrato temporário, rescisão, aviso prévio, FGTS"
Declaração,"declaração de imposto, receita federal, IR, deduções"
Atestado,"licença, ausência, doença, médico, tratamento"
Contrato,"parceria, sociedade, associação, direitos, deveres"
Relatório Financeiro,"lucro líquido, despesas financeiras, patrimônio"
Ata de Reunião,"assembleia geral, votação, aprovação, presença"
Nota Fiscal,"venda direta, emitente, tributação, venda, frete"
Contrato de Trabalho,"contrato por tempo, salário, remuneração, jornada"
Declaração,"declaração de bens, patrimônio, declaração pública"
Atestado,"constatação, sintomas, acompanhamento, diagnóstico"
Contrato,"serviços prestados, fornecimento, entrega, termos"
Relatório Financeiro,"resultado líquido, EBITDA, balanço financeiro"
Ata de Reunião,"minuta, resumo, aprovação, participantes, temas"
Nota Fiscal,"devolução, crédito, compra, nota fiscal de entrada"
Contrato de Trabalho,"contrato em experiência, avaliação, período, prazo"
Declaração,"declaração de renda, fonte pagadora, rendimento"
Atestado,"recuperação, acompanhamento, consulta, avaliação"
Contrato,"contrato de parceria, compromisso, sociedade, acordo"
Relatório Financeiro,"balancete, contabilidade, ajuste, revisão, demonstração"
Ata de Reunião,"reunião ordinária, ponto, ordem, deliberação, voto"
Nota Fiscal,"NF-e, sistema, vendas, compras, faturamento"
Contrato de Trabalho,"contrato coletivo, sindicato, negociações, convenção"
Declaração,"declaração juramentada, afirmativa, confirmação"
Contrato,"assinatura, partes, cláusulas, data, valores, obrigações, termos, validade, rescisão"
Relatório Financeiro,"receita, despesa, lucro, balanço, ativo, passivo, caixa, relatório, análise, orçamento"
